name,category,address,phone,website,rating,review_count,lead_score
Sample Business 1,Ltd,7551 Broadway,(509) 886-9745,https://business1.example.com,4.2,1264,25
Sample Business 2,Restaurant,2753 Washington Ave,+44 6900 514134,https://business2.example.com,3.9,1158,15
Sample Business 3,Cafe,4733 Main St,+1 (624) 871-2234,https://business3.example.com,4.4,42,20
Sample Business 4,Office,1925 Elm St,(417) 811-7747,https://business4.example.com,3.6,1304,15
Sample Business 5,Inc,8186 Washington Ave,+1 (988) 988-1967,https://business5.example.com,2.9,217,15
Sample Business 6,Services,5995 Main St,+44 2173 172370,https://business6.example.com,4.5,714,25
Sample Business 7,Cafe,4167 Lake Dr,+1 (507) 642-1357,https://business7.example.com,4.2,813,25
Sample Business 8,Studio,7444 Market St,+1 (419) 241-7049,https://business8.example.com,4.1,113,25
Sample Business 9,Cafe,7318 Market St,+1 (864) 199-7311,https://business9.example.com,5.0,759,25
Sample Business 10,Shop,890 Elm St,+44 7370 238657,https://business10.example.com,3.9,309,15
Sample Business 11,Ltd,8674 Highland Rd,(885) 890-8646,https://business11.example.com,3.3,1030,15
Sample Business 12,Restaurant,8742 Lake Dr,+1 (344) 445-8860,https://business12.example.com,2.8,952,15
Sample Business 13,Firm,8874 Washington Ave,+44 5780 559283,https://business13.example.com,2.9,1121,15
Sample Business 14,Clinic,4477 Main St,(476) 724-9806,https://business14.example.com,4.1,542,25
Sample Business 15,Office,1843 Market St,+44 7465 341974,https://business15.example.com,4.7,613,25
Sample Business 16,Clinic,154 Washington Ave,(258) 654-4971,https://business16.example.com,4.8,774,25
Sample Business 17,Studio,5508 Oak Ave,(833) 281-5218,https://business17.example.com,4.5,803,25
Sample Business 18,Restaurant,6468 Broadway,(461) 348-2575,https://business18.example.com,3.2,395,15
Sample Business 19,Ltd,5848 Broadway,+44 5412 555067,https://business19.example.com,3.6,765,15
Sample Business 20,Office,9924 Elm St,+44 7803 606975,https://business20.example.com,4.4,1064,25
Sample Business 21,Ltd,1996 Broadway,+44 6755 954038,https://business21.example.com,4.2,338,25
Sample Business 22,Clinic,8880 Elm St,+44 5864 659532,https://business22.example.com,4.8,535,25
Sample Business 23,Studio,7299 Park Blvd,+1 (964) 139-9663,https://business23.example.com,2.9,326,15
Sample Business 24,Restaurant,5899 Park Blvd,+44 9612 672724,https://business24.example.com,4.9,969,25
Sample Business 25,Services,6255 Elm St,(609) 692-1275,https://business25.example.com,3.8,1378,15
Sample Business 26,Cafe,9638 Oak Ave,+44 8404 629132,https://business26.example.com,3.5,665,15
Sample Business 27,Office,9116 Market St,+44 9396 819224,https://business27.example.com,4.0,1140,25
Sample Business 28,Services,3433 Main St,+1 (572) 253-2367,https://business28.example.com,4.1,741,25
Sample Business 29,Office,3087 Elm St,+1 (981) 143-8953,https://business29.example.com,3.2,704,15
Sample Business 30,Shop,9094 Oak Ave,+44 3874 388596,https://business30.example.com,3.2,431,15
Sample Business 31,Services,9882 Oak Ave,+44 3808 722034,https://business31.example.com,3.4,23,10
Sample Business 32,Clinic,2198 Broadway,+1 (438) 861-8293,https://business32.example.com,5.0,1441,25
Sample Business 33,Office,2680 Lake Dr,+44 1996 689390,https://business33.example.com,3.9,640,15
Sample Business 34,Services,9590 Main St,(663) 976-4698,https://business34.example.com,4.2,360,25
Sample Business 35,Office,6241 Lake Dr,(814) 566-1729,https://business35.example.com,4.3,13,20
Sample Business 36,Ltd,4379 Washington Ave,(618) 278-8145,https://business36.example.com,3.7,1049,15
Sample Business 37,Office,1251 Washington Ave,+1 (465) 261-3485,https://business37.example.com,4.2,852,25
Sample Business 38,Restaurant,5386 Market St,+1 (388) 465-8891,https://business38.example.com,3.7,1484,15
Sample Business 39,Studio,1702 Broadway,+1 (262) 768-6048,https://business39.example.com,4.1,846,25
Sample Business 40,Office,3590 Main St,(498) 892-8960,https://business40.example.com,4.4,697,25
